-2.251, 58.694, 88.113
-4.224, 58.364, 85.182
-6.185, 57.971, 82.146
-8.125, 57.488, 78.994
-10.026, 56.869, 75.712
-11.845, 56.043, 72.282
-13.501, 54.927, 70.991
-14.942, 53.542, 89.098
-16.307, 52.08, 86.2
-17.769, 50.718, 83.203
-19.364, 49.512, 86.019
-21.062, 48.456, 89.937
-22.828, 47.518, 92.244
-24.733, 46.973, 96.446
-26.696, 46.588, 97.697
-28.651, 46.169, 99.033
-30.603, 45.733, 99.553
-32.555, 45.297, 98.065
-34.511, 44.881, 96.512
-36.476, 44.505, 94.909
-38.45, 44.189, 92.215
-40.437, 43.961, 89.419
-42.433, 43.838, 86.532
-44.433, 43.842, 83.546
-46.427, 43.988, 80.45
-48.403, 44.287, 77.229
-50.35, 44.742, 73.868
-52.255, 45.35, 70.347
-54.108, 46.1, 66.639
-55.905, 46.977, 62.713
-57.643, 47.965, 58.524
-59.318, 49.058, 54.011
-60.939, 50.229, 49.084
-61.528, 52.069, 43.8
-61.803, 54.049, 37.559
-61.829, 56.046, 30.056
-61.277, 57.949, 20
-59.718, 59.116, 26.648
-57.734, 59.27, 70.487
-55.751, 59.017, 66.788
-53.786, 58.644, 62.871
-51.821, 58.272, 58.692
-49.843, 57.981, 54.192
-47.848, 57.849, 49.285
-45.853, 57.953, 43.836
-43.901, 58.378, 37.607
-42.062, 59.158, 30.113
-40.338, 60.163, 20
-41.596, 60.898, 86.793
-43.596, 60.94, 86.194
-45.596, 60.952, 83.195
-47.595, 60.992, 80.084
-49.593, 61.089, 76.847
-51.584, 61.27, 73.468
-53.562, 61.566, 69.926
-55.51, 62.013, 66.196
-57.395, 62.677, 62.244
-58.375, 62.239, 60.013
-57.248, 60.59, 91.764
-55.992, 59.034, 97.105
-54.692, 57.514, 98.096
-53.369, 56.014, 98.69
-52.032, 54.527, 99.068
-50.684, 53.05, 99.321
-49.328, 51.579, 99.496
-47.967, 50.114, 99.622
-46.599, 48.654, 99.622
-45.229, 47.198, 99.714
-43.855, 45.744, 99.784
-42.479, 44.293, 99.784
